Time,Solar,Hydro,Nuclear,Wind_Power,Total,Wind_Weather,Temp,Price
2022-02-04 17:00:00,0.0,35735.7,55973.89995,,205733.0,3.0414634146341464,-3.103921568627451,10.22876
2022-02-04 18:00:00,0.0,26588.0,55958.59994,,192903.49989,3.1568862275449106,-3.164705882352941,15.54464
2022-02-04 19:00:00,0.0,21647.4,50963.39994,,181727.49993,3.09578313253012,-3.2171568627450977,15.5
2022-02-04 20:00:00,0.0,19774.15996,48485.49991,,175292.99994,3.2404761904761905,-3.2666666666666666,6.21364
2022-02-04 21:00:00,0.0,20536.40998,47389.19995,,171901.79991,3.323214285714285,-3.333333333333333,2.72428
2022-02-04 22:00:00,0.0,15639.88988,53700.7999,,171164.79995000002,3.298802395209581,-3.4182266009852214,2.4924
2022-02-04 23:00:00,0.0,12671.10986,54955.39991,,166565.69996,3.447023809523809,-3.4754901960784315,6.03012
2022-02-05 00:00:00,0.0,12111.95995,55332.89996,,163704.99991,3.548809523809524,-3.5794117647058825,1.97284
2022-02-05 01:00:00,0.0,12375.419890000001,55479.29991,,162218.99992,3.52710843373494,-3.65320197044335,1.984
2022-02-05 02:00:00,0.0,12721.8099,55667.39992,,161700.69996,3.492121212121212,-3.716666666666667,1.97284
2022-02-05 03:00:00,0.0,13115.119920000001,55861.89995,,161756.39991,3.632121212121212,-3.806372549019608,1.89224
2022-02-05 04:00:00,0.0,14674.41992,55975.09994,,162284.99999,3.6668674698795183,-3.897549019607843,2.0956
2022-02-05 05:00:00,0.0,16232.16991,55981.399990000005,,164485.19996,3.7285714285714286,-3.964705882352941,2.63872
2022-02-05 06:00:00,0.0,20078.87997,55981.299940000004,,168022.09993,3.9380952380952383,-4.058333333333334,4.21476
2022-02-05 07:00:00,0.1,21618.39999,55990.599930000004,,169629.89993,4.132738095238095,-4.1495098039215685,5.29232
2022-02-05 08:00:00,4.9,25167.99996,55984.999950000005,,172073.39995,4.38,-4.188669950738916,5.60728
2022-02-05 09:00:00,16.19999,27053.7,55984.099930000004,,171194.39993,4.749101796407186,-4.120588235294118,7.9732
2022-02-05 10:00:00,24.89999,26439.19999,55978.09992,,168550.09988,4.9197604790419165,-4.032843137254902,10.67516
2022-02-05 11:00:00,27.8,26427.8,55986.6999,,166633.39996,5.029696969696969,-3.978712871287129,13.35108
2022-02-05 12:00:00,25.5,28166.9,55983.19991,,166505.39992,5.151515151515151,-3.946039603960396,10.30936
2022-02-05 13:00:00,19.0,29710.59997,55990.099930000004,,165823.39991,5.201796407185629,-4.057142857142857,7.360639999999999
2022-02-05 14:00:00,9.9,29549.49997,55976.09994,,165805.19996,5.097604790419162,-4.343627450980392,10.43584
2022-02-05 15:00:00,1.1,33006.3,55991.19995,,169466.29992,4.839520958083833,-4.727941176470588,5.58868
2022-02-05 16:00:00,0.0,34824.6,55981.19997,,172285.59993,4.52202380952381,-5.116666666666666,5.0592
2022-02-05 17:00:00,0.0,33597.29999,55983.49994,,171030.19993,4.220238095238095,-5.487254901960784,10.385
2022-02-05 18:00:00,0.0,28666.0,55966.19992,,162208.09994000001,3.975595238095238,-5.913235294117647,15.41072
2022-02-05 19:00:00,0.0,23415.2,56000.5999,,155200.69994,3.986309523809524,-6.28186274509804,12.3814
2022-02-05 20:00:00,0.0,24500.59999,55994.19997,,155998.2999,3.9446428571428576,-6.544117647058823,6.03756
2022-02-05 21:00:00,0.0,26703.49999,55997.59995,,157252.69989,3.817857142857143,-6.869607843137255,4.07836
2022-02-05 22:00:00,0.0,20034.23993,55974.19993,,152209.59998,3.655952380952381,-7.223039215686274,11.09924
2022-02-05 23:00:00,0.0,16981.66987,55990.59992,,150262.29992,3.626785714285714,-7.670098039215686,11.6002
2022-02-06 00:00:00,0.0,13645.46992,56001.09992,,147478.39992,3.532934131736527,-8.065686274509805,8.06992
2022-02-06 01:00:00,0.0,12566.869920000001,56001.49995,,146770.69994,3.5239520958083834,-8.459803921568627,2.86192
2022-02-06 02:00:00,0.0,11560.02993,56011.99994,,144780.89997,3.546107784431138,-8.639215686274511,3.4682800000000005
2022-02-06 03:00:00,0.0,12334.9299,55998.99991,,144083.6999,3.65748502994012,-8.552450980392157,2.55936
2022-02-06 04:00:00,0.0,14719.119920000001,47597.09994,,128686.49997,3.9592814371257488,-8.301960784313724,2.48372
2022-02-06 05:00:00,0.0,17234.79993,55987.999930000005,,153860.19994,4.280239520958084,-7.982843137254902,2.4862
2022-02-06 06:00:00,0.0,16417.18994,56003.599910000004,,156169.19994,4.792215568862275,-7.611764705882352,3.0975200000000003
2022-02-06 07:00:00,0.3,17033.41993,55981.99992,,160506.49992,5.279393939393939,-7.235467980295566,1.8538
2022-02-06 08:00:00,5.7,19983.71995,55988.89993,,165900.99992,5.714457831325301,-6.825980392156863,2.34856
2022-02-06 09:00:00,16.0,19596.07993,55996.99994,,165884.9999,6.093373493975903,-6.294607843137254,1.47064
2022-02-06 10:00:00,23.19999,19710.78993,55986.099930000004,,166420.29991,6.265662650602409,-5.800980392156864,1.53264
2022-02-06 11:00:00,24.5,19896.66996,55995.29993,,167929.69992,6.522754491017964,-5.404411764705882,1.705
2022-02-06 12:00:00,25.39999,19113.03993,55996.89991,,166683.59991,6.716463414634147,-5.088235294117647,2.50356
2022-02-06 13:00:00,21.39999,20029.91996,56009.69991,,169082.79995000002,6.730061349693251,-4.933333333333334,2.94996
2022-02-06 14:00:00,11.5,23071.09999,56006.299940000004,,174132.79997,6.631901840490798,-4.863546798029557,3.00452
2022-02-06 15:00:00,1.39999,28578.7,56007.99995,,182253.09997,6.698170731707317,-4.7553921568627455,3.007
2022-02-06 16:00:00,0.0,32903.8,56000.19993,,187455.69991999998,6.798170731707318,-4.619607843137255,4.237080000000001
2022-02-06 17:00:00,0.0,32430.79999,55999.59997,,186375.39991,6.766257668711657,-4.515196078431373,9.49096
2022-02-06 18:00:00,0.0,28851.3,56004.49992,,179378.39992,6.738414634146341,-4.479901960784313,9.3124
2022-02-06 19:00:00,0.0,26212.8,55986.39992,,172341.29996,6.7092024539877295,-4.462254901960784,14.870079999999998
2022-02-06 20:00:00,0.0,25161.0,55970.39995,,166357.79996,6.496932515337424,-4.44656862745098,10.13204
2022-02-06 21:00:00,0.0,27526.4,55957.79991,,164830.19991,6.22883435582822,-4.482352941176471,11.005
2022-02-06 22:00:00,0.0,20138.88994,55969.69995,,153616.09987,5.999393939393939,-4.577450980392157,10.93556
2022-02-06 23:00:00,0.0,14865.48986,55985.599930000004,,145344.19991,5.799393939393939,-4.675980392156863,9.25164
2022-02-07 00:00:00,0.0,13620.77992,55990.79995,,142118.29996,5.615853658536586,-4.77843137254902,4.56816
2022-02-07 01:00:00,0.0,12184.5399,55984.99994,,140621.39997,5.637423312883436,-4.870098039215686,2.48496
